compile_order,circuit_inventory_id,pair_id,regime,depth,two_qubit_count,num_qubits,ops
140,zz4_H0_zz4_pair_0140,zz4_pair_0140,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
141,zz4_H0_zz4_pair_0141,zz4_pair_0141,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
142,zz4_H0_zz4_pair_0142,zz4_pair_0142,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
143,zz4_H0_zz4_pair_0143,zz4_pair_0143,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
144,zz4_H0_zz4_pair_0144,zz4_pair_0144,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
145,zz4_H0_zz4_pair_0145,zz4_pair_0145,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
146,zz4_H0_zz4_pair_0146,zz4_pair_0146,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
147,zz4_H0_zz4_pair_0147,zz4_pair_0147,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
148,zz4_H0_zz4_pair_0148,zz4_pair_0148,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
149,zz4_H0_zz4_pair_0149,zz4_pair_0149,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
150,zz4_H0_zz4_pair_0150,zz4_pair_0150,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
151,zz4_H0_zz4_pair_0151,zz4_pair_0151,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
