pair_id,pair_order,pair_mode,kernel_i,kernel_j,sample_i_id,sample_j_id,sample_i_split,sample_j_split,sample_i_target,sample_j_target,pair_type,split_pair,target_pair,expected_symmetry_mirror,include_in_wave1_full_kernel,sentinel_pair,notes
zz4_pair_0165,165,upper_triangle_including_diagonal,8,9,57efcbdd988cedc7,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0166,166,upper_triangle_including_diagonal,8,10,57efcbdd988cedc7,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0167,167,upper_triangle_including_diagonal,8,11,57efcbdd988cedc7,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0168,168,upper_triangle_including_diagonal,8,12,57efcbdd988cedc7,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0169,169,upper_triangle_including_diagonal,8,13,57efcbdd988cedc7,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0170,170,upper_triangle_including_diagonal,8,14,57efcbdd988cedc7,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0171,171,upper_triangle_including_diagonal,8,15,57efcbdd988cedc7,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0172,172,upper_triangle_including_diagonal,8,16,57efcbdd988cedc7,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0173,173,upper_triangle_including_diagonal,8,17,57efcbdd988cedc7,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0174,174,upper_triangle_including_diagonal,8,18,57efcbdd988cedc7,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0175,175,upper_triangle_including_diagonal,8,19,57efcbdd988cedc7,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0176,176,upper_triangle_including_diagonal,8,20,57efcbdd988cedc7,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0177,177,upper_triangle_including_diagonal,8,21,57efcbdd988cedc7,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
