regime_id,pub_order,circuit_inventory_id,pair_id,i,j,all_zero_key,all_zero_count,shots_observed,kernel_value_raw
H0,166,zz4_H0_zz4_pair_0166,zz4_pair_0166,8,10,0000,121,1024,0.1181640625
H0,167,zz4_H0_zz4_pair_0167,zz4_pair_0167,8,11,0000,45,1024,0.0439453125
H0,168,zz4_H0_zz4_pair_0168,zz4_pair_0168,8,12,0000,42,1024,0.041015625
H0,169,zz4_H0_zz4_pair_0169,zz4_pair_0169,8,13,0000,95,1024,0.0927734375
H0,170,zz4_H0_zz4_pair_0170,zz4_pair_0170,8,14,0000,34,1024,0.033203125
H0,171,zz4_H0_zz4_pair_0171,zz4_pair_0171,8,15,0000,33,1024,0.0322265625
H0,172,zz4_H0_zz4_pair_0172,zz4_pair_0172,8,16,0000,15,1024,0.0146484375
H0,173,zz4_H0_zz4_pair_0173,zz4_pair_0173,8,17,0000,76,1024,0.07421875
H0,174,zz4_H0_zz4_pair_0174,zz4_pair_0174,8,18,0000,66,1024,0.064453125
H0,175,zz4_H0_zz4_pair_0175,zz4_pair_0175,8,19,0000,42,1024,0.041015625
H0,176,zz4_H0_zz4_pair_0176,zz4_pair_0176,8,20,0000,73,1024,0.0712890625
H0,177,zz4_H0_zz4_pair_0177,zz4_pair_0177,8,21,0000,25,1024,0.0244140625
H0,178,zz4_H0_zz4_pair_0178,zz4_pair_0178,8,22,0000,139,1024,0.1357421875
H0,179,zz4_H0_zz4_pair_0179,zz4_pair_0179,8,23,0000,160,1024,0.15625
H0,180,zz4_H0_zz4_pair_0180,zz4_pair_0180,9,9,0000,967,1024,0.9443359375
H0,181,zz4_H0_zz4_pair_0181,zz4_pair_0181,9,10,0000,93,1024,0.0908203125
H0,182,zz4_H0_zz4_pair_0182,zz4_pair_0182,9,11,0000,74,1024,0.072265625
H0,183,zz4_H0_zz4_pair_0183,zz4_pair_0183,9,12,0000,112,1024,0.109375
H0,184,zz4_H0_zz4_pair_0184,zz4_pair_0184,9,13,0000,95,1024,0.0927734375
H0,185,zz4_H0_zz4_pair_0185,zz4_pair_0185,9,14,0000,94,1024,0.091796875
H0,186,zz4_H0_zz4_pair_0186,zz4_pair_0186,9,15,0000,88,1024,0.0859375
H0,187,zz4_H0_zz4_pair_0187,zz4_pair_0187,9,16,0000,159,1024,0.1552734375
H0,188,zz4_H0_zz4_pair_0188,zz4_pair_0188,9,17,0000,55,1024,0.0537109375
H0,189,zz4_H0_zz4_pair_0189,zz4_pair_0189,9,18,0000,59,1024,0.0576171875
H0,190,zz4_H0_zz4_pair_0190,zz4_pair_0190,9,19,0000,38,1024,0.037109375
H0,191,zz4_H0_zz4_pair_0191,zz4_pair_0191,9,20,0000,152,1024,0.1484375
H0,192,zz4_H0_zz4_pair_0192,zz4_pair_0192,9,21,0000,37,1024,0.0361328125
H0,193,zz4_H0_zz4_pair_0193,zz4_pair_0193,9,22,0000,82,1024,0.080078125
H0,194,zz4_H0_zz4_pair_0194,zz4_pair_0194,9,23,0000,51,1024,0.0498046875
H0,195,zz4_H0_zz4_pair_0195,zz4_pair_0195,10,10,0000,950,1024,0.927734375
